FPA_ID,FIRE_YEAR,FIRE_NAME,DISCOVERY_DATE,DISCOVERY_DOY,CAUSE_CLASS,GENERAL_CAUSE,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,MONTH
FS-379826,2002,MUSSOLINI,2002-07-13,194,Human,Equipment and vehicle use,3260.0,F,41.4675,-122.48416667,6
W-565324,2002,CROY,2002-09-23,266,Human,Equipment and vehicle use,3127.0,F,37.091,-121.77493899999999,7
FS-379272,2002,STANZA,2002-07-22,203,Natural,Natural,2880.0,F,41.66805556,-123.29666667,7
ICS209_2002_CA-BDF-4803,2002,ARROWHEAD,2002-05-31,151,Missing data/not specified/undetermined,Missing data/not specified/undetermined,2688.0,F,34.2,-117.285,1
FS-379738,2002,BIRCH,2002-07-01,182,Human,Debris and open burning,2624.0,F,37.51861111,-118.63583333,12
W-466332,2002,PASS,2002-08-11,223,Human,Missing data/not specified/undetermined,2620.0,F,33.9508,-116.8845,7
ICS209_2002_CA-LPF-001226,2002,SULPHUR SPRINGS,2002-07-10,191,Missing data/not specified/undetermined,Missing data/not specified/undetermined,2500.0,F,36.016944,-121.219167,7
FS-382348,2002,HUNTER.,2002-11-25,329,Human,Debris and open burning,2400.0,F,38.88416667,-120.46666667,8
FS-381538,2002,GREEN,2002-02-09,40,Human,Power generation/transmission/distribution,2400.0,F,33.86416667,-117.66583333,8
ICS209_2002_CA-MCP-020743,2002,ALISO,2002-03-21,80,Human,Missing data/not specified/undetermined,2400.0,F,33.441666999999995,-117.394444,8
ICS209_2002_CA-SLU-2909,2002,DAVIS,2002-06-09,160,Missing data/not specified/undetermined,Missing data/not specified/undetermined,2118.0,F,35.703056,-120.25,8
W-220757,2002,WOLF,2002-07-11,192,Natural,Natural,2108.0,F,37.871,-119.6791,8
FS-377318,2002,CONE,2002-09-26,269,Human,Equipment and vehicle use,2006.0,F,40.75944444,-121.18222222,9
SFO-2002CACDFBTU006327,2002,SKYWAY                   ,2002-06-08,159,Human,Missing data/not specified/undetermined,2000.0,F,39.705,-121.72194444,9
